11/24/14,1000,11/24/04,-76202
11/24/14,1000,11/25/04,12564
11/24/14,1000,11/26/04,-24258
11/24/14,1000,11/27/04,-57176
11/24/14,1000,11/28/04,-76099
11/24/14,1000,11/29/04,93211
11/24/14,1000,11/30/04,-93625
11/24/14,1000,12/1/04,-43880
11/24/14,1000,12/2/04,-78737
11/24/14,1000,12/3/04,26918
11/24/14,1000,12/4/04,-64412
11/24/14,1000,12/5/04,27210
11/24/14,1000,12/6/04,-28786
11/24/14,1000,12/7/04,-83595
11/24/14,1000,12/8/04,93380
11/24/14,1000,12/9/04,55309
11/24/14,1000,12/10/04,62059
11/24/14,1000,12/11/04,-89211
11/24/14,1000,12/12/04,-23594
11/24/14,1000,12/13/04,-6931
11/24/14,1000,12/14/04,-70634
11/24/14,1000,12/15/04,92372
11/24/14,1000,12/16/04,-80080
11/24/14,1000,12/17/04,-10740
11/24/14,1000,12/18/04,-35967
11/24/14,1000,12/19/04,-99608
11/24/14,1000,12/20/04,54850
11/24/14,1000,12/21/04,11830
11/24/14,1000,12/22/04,-94626
11/24/14,1000,12/23/04,-45089
11/24/14,1000,12/24/04,-39242
11/24/14,1000,12/25/04,-98783
11/24/14,1000,12/26/04,60671
11/24/14,1000,12/27/04,-77807
11/24/14,1000,12/28/04,95501
11/24/14,1000,12/29/04,-51461
11/24/14,1000,12/30/04,9082
11/24/14,1000,12/31/04,-46556
11/24/14,1000,1/1/05,33909
11/24/14,1000,1/2/05,84525
11/24/14,1000,1/3/05,-39224
11/24/14,1000,1/4/05,-78737
11/24/14,1000,1/5/05,1526
11/24/14,1000,1/6/05,-6257
11/24/14,1000,1/7/05,39978
11/24/14,1000,1/8/05,93947
11/24/14,1000,1/9/05,98070
11/24/14,1000,1/10/05,-34634
11/24/14,1000,1/11/05,-55815
11/24/14,1000,1/12/05,74179
11/24/14,1000,1/13/05,-58300
11/24/14,1000,1/14/05,-90639
11/24/14,1000,1/15/05,-31714
11/24/14,1000,1/16/05,-41541
11/24/14,1000,1/17/05,32851
11/24/14,1000,1/18/05,3410
11/24/14,1000,1/19/05,-36383
11/24/14,1000,1/20/05,-33239
11/24/14,1000,1/21/05,68902
11/24/14,1000,1/22/05,42943
11/24/14,1000,1/23/05,91185
11/24/14,1000,1/24/05,19078
11/24/14,1000,1/25/05,67172
11/24/14,1000,1/26/05,-21204
11/24/14,1000,1/27/05,76257
11/24/14,1000,1/28/05,-87468
11/24/14,1000,1/29/05,10838
11/24/14,1000,1/30/05,-22820
11/24/14,1000,1/31/05,-90783
11/24/14,1000,2/1/05,41079
11/24/14,1000,2/2/05,-51322
11/24/14,1000,2/3/05,-55091
11/24/14,1000,2/4/05,-39712
11/24/14,1000,2/5/05,-63946
11/24/14,1000,2/6/05,5740
11/24/14,1000,2/7/05,38817
11/24/14,1000,2/8/05,-87988
11/24/14,1000,2/9/05,-16127
11/24/14,1000,2/10/05,-28211
11/24/14,1000,2/11/05,65063
11/24/14,1000,2/12/05,4646
11/24/14,1000,2/13/05,62827
11/24/14,1000,2/14/05,25041
11/24/14,1000,2/15/05,69685
11/24/14,1000,2/16/05,54208
11/24/14,1000,2/17/05,-55668
11/24/14,1000,2/18/05,-88963
11/24/14,1000,2/19/05,-96055
11/24/14,1000,2/20/05,-30392
11/24/14,1000,2/21/05,1528
11/24/14,1000,2/22/05,86185
11/24/14,1000,2/23/05,-83542
11/24/14,1000,2/24/05,-49686
11/24/14,1000,2/25/05,-62502
11/24/14,1000,2/26/05,85433
11/24/14,1000,2/27/05,-68013
11/24/14,1000,2/28/05,-71720
11/24/14,1000,3/1/05,-89449
11/24/14,1000,3/2/05,-7612
11/24/14,1000,3/3/05,48301
11/24/14,1000,3/4/05,-56589
11/24/14,1000,3/5/05,50362
11/24/14,1000,3/6/05,42121
11/24/14,1000,3/7/05,-49847
11/24/14,1000,3/8/05,50745
11/24/14,1000,3/9/05,26111
11/24/14,1000,3/10/05,-22112
11/24/14,1000,3/11/05,-83280
11/24/14,1000,3/12/05,62670
11/24/14,1000,3/13/05,-32476
11/24/14,1000,3/14/05,46808
11/24/14,1000,3/15/05,27699
11/24/14,1000,3/16/05,-11232
11/24/14,1000,3/17/05,98922
11/24/14,1000,3/18/05,-4385
11/24/14,1000,3/19/05,-39333
11/24/14,1000,3/20/05,-82735
11/24/14,1000,3/21/05,38949
11/24/14,1000,3/22/05,-82082
11/24/14,1000,3/23/05,17496
11/24/14,1000,3/24/05,59299
11/24/14,1000,3/25/05,-41059
11/24/14,1000,3/26/05,82688
11/24/14,1000,3/27/05,-31031
