11/24/14,1000,24-Nov-2004,34258
11/24/14,1000,25-Nov-2004,55572
11/24/14,1000,26-Nov-2004,81088
11/24/14,1000,27-Nov-2004,71698
11/24/14,1000,28-Nov-2004,-41407
11/24/14,1000,29-Nov-2004,-11037
11/24/14,1000,30-Nov-2004,-41277
11/24/14,1000,1-Dec-2004,39365
11/24/14,1000,2-Dec-2004,-93858
11/24/14,1000,3-Dec-2004,81636
11/24/14,1000,4-Dec-2004,25305
11/24/14,1000,5-Dec-2004,-18279
11/24/14,1000,6-Dec-2004,-2194
11/24/14,1000,7-Dec-2004,38112
11/24/14,1000,8-Dec-2004,93917
11/24/14,1000,9-Dec-2004,39526
11/24/14,1000,10-Dec-2004,-19497
11/24/14,1000,11-Dec-2004,-82543
11/24/14,1000,12-Dec-2004,38406
11/24/14,1001,24-Nov-2004,12462
11/24/14,1001,25-Nov-2004,-33491
11/24/14,1001,26-Nov-2004,20160
11/24/14,1001,27-Nov-2004,-10991
11/24/14,1001,28-Nov-2004,-72190
11/24/14,1001,29-Nov-2004,-48131
11/24/14,1001,30-Nov-2004,-88810
11/24/14,1001,1-Dec-2004,-50394
11/24/14,1001,2-Dec-2004,58354
11/24/14,1001,3-Dec-2004,-89578
11/24/14,1001,4-Dec-2004,31856
11/24/14,1001,5-Dec-2004,94059
11/24/14,1001,6-Dec-2004,72858
11/24/14,1001,7-Dec-2004,-29893
11/24/14,1001,8-Dec-2004,65190
11/24/14,1001,9-Dec-2004,5624
11/24/14,1001,10-Dec-2004,57784
11/24/14,1001,11-Dec-2004,45644
11/24/14,1001,12-Dec-2004,-3420
