2012/09/21,trade1,2015/01/20,471750
2012/09/22,trade1,2015/01/20,667735
2012/09/23,trade1,2015/01/20,364854
2012/09/24,trade1,2015/01/20,814797
2012/09/25,trade1,2015/01/20,700646
2012/09/26,trade1,2015/01/20,106658
2012/09/27,trade1,2015/01/20,620219
2012/09/28,trade1,2015/01/20,641319
2012/09/29,trade1,2015/01/20,707071
2012/09/30,trade1,2015/01/20,755644
2012/10/01,trade1,2015/01/20,139877
2012/10/02,trade1,2015/01/20,851950
2012/10/03,trade1,2015/01/20,781325
2012/10/04,trade1,2015/01/20,696269
2012/10/05,trade1,2015/01/20,160052
2012/10/06,trade1,2015/01/20,467001
2012/10/07,trade1,2015/01/20,603585
2012/10/08,trade1,2015/01/20,346623
2012/10/09,trade1,2015/01/20,941373
2012/10/10,trade1,2015/01/20,272634
2012/10/11,trade1,2015/01/20,257836
2012/10/12,trade1,2015/01/20,863489
2012/10/13,trade1,2015/01/20,143426
2012/10/14,trade1,2015/01/20,118167
2012/10/15,trade1,2015/01/20,994294
2012/10/16,trade1,2015/01/20,612648
2012/10/17,trade1,2015/01/20,573885
2012/10/18,trade1,2015/01/20,285027
2012/10/19,trade1,2015/01/20,202630
2012/10/20,trade1,2015/01/20,365665
2012/10/21,trade1,2015/01/20,772344
2012/10/22,trade1,2015/01/20,436712
2012/10/23,trade1,2015/01/20,802616
2012/10/24,trade1,2015/01/20,109400
2012/10/25,trade1,2015/01/20,212303
2012/10/26,trade1,2015/01/20,585934
2012/10/27,trade1,2015/01/20,944348
2012/10/28,trade1,2015/01/20,672472
2012/10/29,trade1,2015/01/20,505398
2012/10/30,trade1,2015/01/20,891596
2012/10/31,trade1,2015/01/20,464808
2012/11/01,trade1,2015/01/20,933358
2012/11/02,trade1,2015/01/20,643468
2012/11/03,trade1,2015/01/20,491064
2012/11/04,trade1,2015/01/20,631759
2012/11/05,trade1,2015/01/20,222641
2012/11/06,trade1,2015/01/20,354111
2012/11/07,trade1,2015/01/20,579112
2012/11/08,trade1,2015/01/20,290606
2012/11/09,trade1,2015/01/20,974380
2012/11/10,trade1,2015/01/20,763517
2012/11/11,trade1,2015/01/20,376551
2012/11/12,trade1,2015/01/20,150602
2012/11/13,trade1,2015/01/20,750476
2012/11/14,trade1,2015/01/20,469522
2012/11/15,trade1,2015/01/20,725882
2012/11/16,trade1,2015/01/20,987147
2012/11/17,trade1,2015/01/20,738172
2012/11/18,trade1,2015/01/20,848000
2012/11/19,trade1,2015/01/20,655907
2012/11/20,trade1,2015/01/20,520409
2012/11/21,trade1,2015/01/20,971964
2012/11/22,trade1,2015/01/20,939306
2012/11/23,trade1,2015/01/20,591209
2012/11/24,trade1,2015/01/20,472396
2012/11/25,trade1,2015/01/20,906800
2012/11/26,trade1,2015/01/20,774794
2012/11/27,trade1,2015/01/20,371438
2012/11/28,trade1,2015/01/20,132340
2012/11/29,trade1,2015/01/20,898809
2012/11/30,trade1,2015/01/20,296358
2012/12/01,trade1,2015/01/20,758857
2012/12/02,trade1,2015/01/20,764985
2012/12/03,trade1,2015/01/20,805642
2012/12/04,trade1,2015/01/20,161539
2012/12/05,trade1,2015/01/20,160430
2012/12/06,trade1,2015/01/20,863745
2012/12/07,trade1,2015/01/20,673566
2012/12/08,trade1,2015/01/20,886313
2012/12/09,trade1,2015/01/20,616226
2012/12/10,trade1,2015/01/20,222423
2012/12/11,trade1,2015/01/20,473172
2012/12/12,trade1,2015/01/20,674596
2012/12/13,trade1,2015/01/20,630148
2012/12/14,trade1,2015/01/20,140851
2012/12/15,trade1,2015/01/20,742421
2012/12/16,trade1,2015/01/20,304306
2012/12/17,trade1,2015/01/20,701572
2012/12/18,trade1,2015/01/20,740197
2012/12/19,trade1,2015/01/20,362262
2012/12/20,trade1,2015/01/20,979852
2012/12/21,trade1,2015/01/20,882892
2012/12/22,trade1,2015/01/20,620765
2012/12/23,trade1,2015/01/20,716795
2012/12/24,trade1,2015/01/20,726693
2012/12/25,trade1,2015/01/20,687628
2012/12/26,trade1,2015/01/20,160866
2012/12/27,trade1,2015/01/20,196470
2012/12/28,trade1,2015/01/20,216550
2012/12/29,trade1,2015/01/20,547916
2012/12/30,trade1,2015/01/20,954118
2012/12/31,trade1,2015/01/20,802319
2013/01/01,trade1,2015/01/20,708865
2013/01/02,trade1,2015/01/20,653451
2013/01/03,trade1,2015/01/20,688976
2013/01/04,trade1,2015/01/20,611347
2013/01/05,trade1,2015/01/20,204904
2013/01/06,trade1,2015/01/20,526468
2013/01/07,trade1,2015/01/20,583425
2013/01/08,trade1,2015/01/20,933130
2013/01/09,trade1,2015/01/20,567815
2013/01/10,trade1,2015/01/20,456381
2013/01/11,trade1,2015/01/20,303104
2013/01/12,trade1,2015/01/20,953538
2013/01/13,trade1,2015/01/20,146784
2013/01/14,trade1,2015/01/20,626202
2013/01/15,trade1,2015/01/20,668006
2013/01/16,trade1,2015/01/20,525032
2013/01/17,trade1,2015/01/20,269128
2013/01/18,trade1,2015/01/20,770908
2013/01/19,trade1,2015/01/20,204059
2013/01/20,trade1,2015/01/20,383061
2013/01/21,trade1,2015/01/20,428871
2013/01/22,trade1,2015/01/20,447360
2013/01/23,trade1,2015/01/20,801215
2013/01/24,trade1,2015/01/20,353498
2013/01/25,trade1,2015/01/20,911947
2013/01/26,trade1,2015/01/20,217306
2013/01/27,trade1,2015/01/20,622411
2013/01/28,trade1,2015/01/20,909812
2013/01/29,trade1,2015/01/20,446675
2013/01/30,trade1,2015/01/20,491623
2013/01/31,trade1,2015/01/20,881821
2013/02/01,trade1,2015/01/20,644798
2013/02/02,trade1,2015/01/20,125059
2013/02/03,trade1,2015/01/20,249721
2013/02/04,trade1,2015/01/20,965139
2013/02/05,trade1,2015/01/20,929382
2013/02/06,trade1,2015/01/20,459463
2013/02/07,trade1,2015/01/20,895067
2013/02/08,trade1,2015/01/20,882810
2013/02/09,trade1,2015/01/20,312556
2013/02/10,trade1,2015/01/20,220903
2013/02/11,trade1,2015/01/20,958262
2013/02/12,trade1,2015/01/20,943183
2013/02/13,trade1,2015/01/20,276448
2013/02/14,trade1,2015/01/20,715001
2013/02/15,trade1,2015/01/20,876307
2013/02/16,trade1,2015/01/20,689705
2013/02/17,trade1,2015/01/20,308647
2013/02/18,trade1,2015/01/20,492534
2013/02/19,trade1,2015/01/20,302639
2013/02/20,trade1,2015/01/20,935662
2013/02/21,trade1,2015/01/20,957632
2013/02/22,trade1,2015/01/20,491453
2013/02/23,trade1,2015/01/20,160747
2013/02/24,trade1,2015/01/20,819361
2013/02/25,trade1,2015/01/20,229380
2013/02/26,trade1,2015/01/20,932552
2013/02/27,trade1,2015/01/20,799804
2013/02/28,trade1,2015/01/20,288273
2013/03/01,trade1,2015/01/20,190299
2013/03/02,trade1,2015/01/20,559671
2013/03/03,trade1,2015/01/20,237083
